rating,is_amazon_choice,is_prime,has_variations,is_climate_friendly,cat_baby_products,cat_beauty_makeup,cat_beauty_skincare,cat_electronics_gaming_consoles,cat_electronics_headphones,cat_electronics_keyboards,cat_electronics_laptops,cat_electronics_monitors,cat_electronics_networking,cat_electronics_smartphones,cat_electronics_storage_ssd,cat_electronics_tablets,cat_fashion_bags,cat_fashion_mens,cat_fashion_shoes,cat_fashion_womens,cat_health_personal_care,cat_health_supplements,cat_home_air_quality,cat_home_cleaning,cat_home_furniture,cat_home_kitchen_appliances,cat_office_stationery,cat_office_supplies,cat_pet_supplies,cat_sports_fitness,cat_sports_outdoors,cat_tools_home_improvement,cat_toys_games,price_log_clipped,original_price_log_clipped,reviews_log_clipped,number_of_offers_log_clipped,lowest_offer_price_log_clipped,sales_volume_num_log_clipped,delivery_fee_log_clipped
1.1767666500766603,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7528439978200607,2.624225239533232,-1.496296638501992,-0.5173647345756961,2.8472357428703527,-2.433816745149599,-2.1202593927456723
0.16218854915640904,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8119861976295866,2.6828527899036847,-1.1085404169907422,-0.5173647345756961,2.8530322264588848,-0.28282286306961557,0.8419706478484629
-0.8523895517638422,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33551440755827067,0.22793100679434028,-0.12090260780557835,0.2844202258412704,0.2497489449067218,0.13040534044882518,0.3176848127661361
0.16218854915640904,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31476237645267696,-0.3727529809102742,1.7249641770917892,2.223956151561471,-0.33114369736753946,0.6922815580475188,0.23338656451599554
-0.8523895517638422,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.119929973990016,1.9968187695039417,0.4512069765722438,0.2844202258412704,1.8743378547568144,-0.17470946292379233,0.8419706478484629
-0.17600415115034038,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4181440125170723,1.301139678465052,-0.7300570007038855,-0.5173647345756961,1.4840360655328808,-0.09079530865681153,0.8419706478484629
-0.17600415115034038,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6938704327342193,1.574466755269889,-0.7237762741605137,3.0257411119784385,1.4889931703483243,-0.17470946292379233,0.70048245272126
-0.5141968514570928,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8223185348868363,2.7877140917175076,-1.1142043380748399,-0.5173647345756961,2.8530322264588848,-0.09079530865681153,0.8419706478484629
-0.17600415115034038,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.057226149064368,1.9968187695039417,-0.6586016308980593,1.6550806689098545,1.730019455782492,0.1700735905405922,0.8419706478484629
-0.17600415115034038,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.187469540118603,2.063770613161344,-0.8720492235485225,3.184021165971575,2.2697889107730886,0.1700735905405922,-2.1202593927456723
-0.17600415115034038,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.143845736653438,2.130438061902638,-1.0838601170089401,0.2844202258412704,2.0057552756454213,-2.433816745149599,0.8419706478484629
-0.5141968514570928,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4893577102341817,1.371733681789621,0.2245376596459704,1.294549813667425,1.4051595553514444,0.5838863892307352,0.70048245272126
1.8531520506901622,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8865818086839654,1.7655011763235533,-2.5483917652839447,2.4568656293268214,1.9624763589464025,-0.09079530865681153,-2.1202593927456723
1.1767666500766603,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8223185348868363,2.7877140917175076,0.6037957758602052,0.8532957084928877,2.8530322264588848,0.1700735905405922,-2.1202593927456723
-0.17600415115034038,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9168865301085103,1.7955421891283199,-0.4452390223910268,1.9599051636739653,1.9455712523412672,0.1700735905405922,0.8419706478484629
-0.5141968514570928,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.231496862883393,2.107414814617867,-0.4466259200355475,2.4568656293268214,2.2131016062392774,-0.09079530865681153,0.70048245272126
-1.5287749523773442,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386751964121246,0.4150362870365073,0.31536100759530505,2.4568656293268214,0.1778109454599463,-0.09079530865681153,1.443671945996521
1.1767666500766603,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8223185348868363,2.7877140917175076,-0.839078959797715,0.8532957084928877,2.8530322264588848,0.5838863892307352,-2.1202593927456723
1.1767666500766603,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8223185348868363,2.762398428100346,0.17889088932994524,1.9599051636739653,2.8530322264588848,0.1700735905405922,-2.1202593927456723
0.16218854915640904,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6237036005147716,2.4962086088996083,-1.2637440559212725,0.8532957084928877,2.562720510030682,-0.09079530865681153,0.8419706478484629
0.8385739497699108,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8273518090284966,-0.9248160656278311,-0.5751018155525669,2.665210256736009,-0.8094075645715092,0.1700735905405922,-2.1202593927456723
-0.5141968514570928,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3900462819456765,2.2645845526765926,-1.2371465070737189,0.8532957084928877,2.418051098123009,-0.09079530865681153,0.70048245272126
-1.5287749523773442,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.494280063562105,1.5745053435500564,0.5232469584641931,4.132350567159516,1.2448196946907562,0.8450688206608019,0.70048245272126
